ID;Match;FieldAdvantage;OutcomeWL;PointsWon;Result;GoalsMade;GoalsTaken;BallPoss;Shots;ShotsOnT;ShotsPrec;PassAtt;PassSucc;PassPrec;RosterQuality;Knowledge;YellowC;RedC;FoulsC;FoulsT;TacklesW;TacklesAtt;TacklesWRatio;AirDuelW;DribW;DribAtt;DribWRatio
SACo10;26/10/2016 Chievo-Bologna;A;D;1;1 a 1;1;1;44,30%;8;4;50,00%;340;434;78,34%;31200000;59,35714286;4;0;14;18;24;31;77,42%;48%;1;7;14,29%
SACo11;29/10/2016 Bologna-Fiorentina;H;L;0;0 a 1;0;1;40,60%;5;2;40,00%;341;417;81,78%;32100000;83,71428571;3;1;8;17;25;32;78,13%;53%;5;11;45,46%
SACo12;06/11/2017 Roma-Bologna;A;L;0;3 a 0;0;3;46,20%;13;5;38,46%;330;419;78,76%;41500000;49,85714286;0;0;9;18;6;21;28,57%;44%;6;13;46,15%
SACo13;20/11/2016 Bologna-Palermo;H;W;3;3 a 1;3;1;47,50%;8;4;50,00%;330;437;75,52%;41300000;73,28571429;1;0;15;15;22;29;75,86%;58%;8;11;72,73%
SACo14;27/11/2016 Bologna-Atalanta;H;L;0;0 a 2;0;2;52,00%;9;2;22,22%;370;470;78,72%;45000000;113,0714286;5;0;15;12;14;24;58,33%;47%;7;10;70,00%
SACo15;05/12/2017 Udinese-Bologna;A;L;0;1 a 0;0;1;43,10%;7;1;14,29%;364;450;80,89%;45300000;95,21428571;0;1;17;10;17;26;65,39%;45%;10;14;71,43%
SACo16;11/12/2016 Bologna-Empoli;H;D;1;0 a 0;0;0;53,90%;23;3;13,04%;355;452;78,54%;39300000;80,42857143;2;0;14;17;21;25;84,00%;56%;7;10;70,00%
SACo17;18/12/2016 Pescara-Bologna;A;W;3;0 a 3;3;0;69,70%;17;8;47,06%;659;728;90,52%;43300000;82,92857143;2;0;16;13;8;17;47,06%;59%;5;10;50,00%
SACo18;08/01/2017 Juventus-Bologna;A;L;0;3 a 0;0;3;46,40%;7;2;28,57%;422;494;85,43%;48600000;68,85714286;2;0;13;11;16;32;50,00%;50%;8;14;57,14%
SACo19;14/01/2017 Crotone-Bologna;A;W;3;0 a 1;1;0;50,00%;14;7;50,00%;317;428;74,07%;39200000;82,78571429;4;0;14;14;12;20;60,00%;61%;11;14;78,57%
SACo20;22/01/2017 Bologna-Torino;H;W;3;2 a 0;2;0;43,00%;9;5;55,56%;274;364;75,28%;42200000;63,64285714;2;0;11;11;18;31;58,07%;55%;8;12;66,67%
SACo21;29/01/2017 Cagliari-Bologna;A;D;1;1 a 1;1;1;47,10%;8;2;25,00%;357;458;77,95%;41700000;53,28571429;3;2;18;15;20;29;68,97%;32%;7;10;70,00%
SACo22;04/02/2017 Bologna-Napoli;H;L;0;1 a 7;1;7;47,20%;17;7;41,18%;443;512;86,52%;40100000;67,78571429;2;1;10;9;13;28;46,43%;40%;3;3;100,00%
SACo23;08/02/2017 Bologna-Milan;H;L;0;0 a 1;0;1;55,00%;20;5;25,00%;375;448;83,71%;37600000;65,5;5;0;13;14;17;29;58,62%;30%;11;19;57,90%
SACo24;12/02/2017 Sampdoria-Bologna;A;L;0;3 a 1;1;3;35,90%;10;2;20,00%;231;322;71,74%;42600000;51,42857143;4;0;14;12;20;34;58,82%;57%;9;9;100,00%
SACo25;19/02/2017 Bologna-Inter;H;L;0;0 a 1;0;1;45,60%;8;1;12,50%;264;365;72,33%;32200000;44,35714286;1;0;18;18;21;31;67,74%;56%;7;10;70,00%
SACo26;26/02/2017 Genoa-Bologna;A;D;1;1 a 1;1;1;63,90%;12;4;33,33%;567;644;88,04%;38600000;66,21428571;1;1;6;15;20;32;62,50%;63%;5;11;45,46%
SACo27;05/03/2017 Bologna-Lazio;H;L;0;0 a 2;0;2;46,10%;9;3;33,33%;374;466;80,26%;38800000;61,28571429;2;0;9;19;25;36;69,44%;28%;13;20;65,00%
SACo28;12/03/2017 Sassuolo-Bologna;A;W;3;0 a 1;1;0;41,70%;11;1;9,09%;263;359;73,26%;42600000;65,14285714;5;0;15;20;16;34;47,06%;36%;8;10;80,00%
SACo29;19/03/2017 Bologna-Chievo;H;W;3;4 a 1;4;1;46,40%;18;5;27,78%;312;389;80,21%;33500000;61,64285714;2;0;19;16;14;18;77,78%;43%;8;12;66,67%
SACo30;02/04/2017 Fiorentina-Bologna;A;L;0;1 a 0;0;1;39,20%;5;1;20,00%;315;387;81,40%;47100000;93,71428571;2;0;13;12;26;40;65,00%;52%;9;12;75,00%
SACo31;09/04/2017 Bologna-Roma;H;L;0;0 a 3;0;3;41,20%;13;4;30,77%;351;411;85,40%;36400000;80,5;3;0;14;9;15;21;71,43%;44%;12;14;85,71%
SACo32;15/04/2017 Palermo-Bologna;A;D;1;0 a 0;0;0;40,00%;9;4;44,44%;281;356;78,93%;31400000;79,78571429;2;1;10;14;21;27;77,78%;58%;10;12;83,33%
SACo33;22/04/2017 Atalanta-Bologna;A;L;0;3 a 2;2;3;50,00%;12;6;50,00%;354;434;81,57%;37500000;69,64285714;3;0;19;17;19;30;63,33%;47%;2;8;25,00%
SACo34;30/04/2017 Bologna-Udinese;H;W;3;4 a 0;4;0;45,50%;11;6;54,55%;283;359;78,83%;45600000;83,71428571;1;0;13;13;18;25;72,00%;38%;6;10;60,00%
SACo35;07/05/2017 Empoli-Bologna;A;L;0;3 a 1;1;3;56,40%;6;3;50,00%;401;514;78,02%;41000000;77,35714286;2;0;18;20;17;25;68,00%;66%;9;11;81,82%
SACo36;14/05/2017 Bologna-Pescara;H;W;3;3 a 1;3;1;55,30%;14;7;50,00%;415;495;83,84%;42200000;59,64285714;2;0;9;13;20;26;76,92%;79%;12;19;63,16%
SACo37;21/05/2017 Milan-Bologna;A;L;0;3 a 0;0;3;47,60%;7;0;0,00%;312;400;78,00%;44300000;79,78571429;2;0;8;9;17;22;77,27%;38%;3;7;42,86%
SACo38;27/05/2017 Bologna-Juventus;H;L;0;1 a 2;1;2;37,20%;9;2;22,22%;275;352;78,13%;41200000;61,07142857;3;0;17;8;19;32;59,38%;47%;5;5;100,00%
